Anno	Codice	PuntoV	Imponibile	Iva	Totale	Contanti	Carta	Tickets	Assegni	Altro	Sospesi	Perdite
2025	100	1	1198.42	205.43	1403.85	615.38	523.85	0	0	264.62	0	0
2025	100	2	469.1	103.2	572.3	445.05	127.25	0	0	0	0	0
2025	101	1	2610.74	474.66	3085.4	1416.8	1215.4	0	0	453.2	0	0
2025	101	2	570.33	125.47	695.8	562.51	133	0	0	0	0	0.29
2025	102	1	1230.22	223.08	1453.3	908.76	328.3	0	0	216.24	0	0
2025	102	2	611.23	134.47	745.7	565	180.7	0	0	0	0	0
2025	103	1	862.92	121.98	984.9	516.54	159.9	0	0	308.46	0	0
2025	103	2	323.11	71.09	394.2	217	177.2	0	0	0	0	0
2025	104	1	1063.39	188.41	1251.8	708.02	336.8	0	0	206.98	0	0
2025	104	2	383.85	84.45	468.3	357.6	110	0	0	0	0	0.7
2025	105	1	1270.39	181.21	1451.6	488.3	516.6	0	0	446.7	0	0
2025	105	2	345.83	74.62	420.45	340.5	73.3	0	0	6.65	0	0
2025	106	1	1271.28	199.32	1470.6	624.7	480.6	0	0	365.3	0	0
2025	106	2	547.87	120.53	668.4	505.25	163	0	0	0	0	0.15
2025	107	1	1595.52	310.36	1905.88	1090.2	630.88	0	0	184.8	0	0
2025	107	2	515.98	113.52	629.5	438.1	191	0	0	0	0	0.4
2025	108	1	2256.3	395.08	2651.38	1204.5	986.38	0	0	460.5	0	0
2025	108	2	502.46	110.54	613	570.4	42.6	0	0	0	0	0
2025	109	1	1697.27	315.03	2012.3	1144.7	602.3	0	0	265.3	0	0
2025	109	2	473.52	104.18	577.7	430.5	147.2	0	0	0	0	0
2025	110	1	1378.32	231.18	1609.5	887.51	394.5	0	0	327.49	0	0
2025	110	2	473.93	104.27	578.2	429.8	148.4	0	0	0	0	0
2025	111	1	1167.03	146.37	1313.4	523.3	288.4	0	0	501.7	0	0
2025	111	2	540.98	119.02	660	512.9	146.1	0	0	0	0	1
2025	112	1	1400.41	243.89	1644.3	733.2	619.3	0	0	291.8	0	0
2025	112	2	494.51	108.79	603.3	486.05	117	0	0	0	0	0.25
2025	113	1	2097.57	316.13	2413.7	1149.38	603.7	0	0	660.62	0	0
2025	113	2	835.33	183.77	1019.1	866.6	152.5	0	0	0	0	0
2025	114	1	1998.51	431.39	2429.9	1602.37	789.9	0	0	37.63	0	0
2025	114	2	787.98	167.42	955.4	619.9	308.5	0	0	27	0	0
2025	115	1	1964.12	342.08	2306.2	1080.8	816.2	0	0	409.2	0	0
2025	115	2	722.21	158.89	881.1	723.51	157	0	0	0	0	0.59
2025	116	1	772.2	132.7	904.9	446	289.9	0	0	169	0	0
2025	116	2	331.89	73.01	404.9	336.7	68.2	0	0	0	0	0
2025	117	1	910.76	164.24	1075	660.8	250	0	0	164.2	0	0
2025	117	2	381.64	83.96	465.6	367.79	97.8	0	0	0	0	0.01
2025	118	1	1024.34	166.26	1190.6	526.4	395.6	0	0	268.6	0	0
2025	118	2	396.64	87.26	483.9	400.1	83.8	0	0	0	0	0
2025	119	1	1848.65	344.85	2193.5	1263.84	648.5	0	0	281.16	0	0
2025	119	2	680.08	149.62	829.7	584.1	245.5	0	0	0	0	0.1
2025	120	1	1097.48	211.02	1308.5	756.7	413.5	0	0	138.3	0	0
2025	120	2	484.59	106.61	591.2	448.5	142.5	0	0	0	0	0.2
2025	121	1	2148.01	401.09	2549.1	1330.12	894.1	0	0	324.88	0	0
2025	121	2	604.92	133.08	738	529.5	208.5	0	0	0	0	0
2025	122	1	2069.97	371.33	2441.3	1407.9	651.3	0	0	382.1	0	0
2025	122	2	878.36	193.24	1071.6	751.15	320	0	0	0	0	0.45
2025	123	1	810.32	136.58	946.9	510.5	246.9	0	0	189.5	0	0
2025	123	2	371.72	81.78	453.5	350	103.5	0	0	0	0	0
2025	124	1	948.08	164.77	1112.85	510.87	402.85	0	0	199.13	0	0
